[13:52:20.939] [TX Transmit] Thread started (3 ch, interval=1 ms).
[13:52:25.081] [Ch3 TX] Round=147    |   1 msg(s) |   43 bytes
[13:52:25.088] [Ch3 TX] Round=148    |   1 msg(s) |   43 bytes
[13:52:25.096] [Ch3 TX] Round=149    |   1 msg(s) |   43 bytes
[13:52:25.104] [Ch3 TX] Round=150    |   1 msg(s) |   43 bytes
[13:52:25.110] [Ch2 TX] Round=5      |   1 msg(s) |   43 bytes
[13:52:25.110] [Ch3 TX] Round=151    |   1 msg(s) |   43 bytes
[13:52:25.120] [Ch3 TX] Round=152    |   1 msg(s) |   43 bytes
[13:52:25.129] [Ch3 TX] Round=153    |   1 msg(s) |   43 bytes
[13:52:25.137] [Ch3 TX] Round=154    |   1 msg(s) |   43 bytes
[13:52:25.145] [Ch3 TX] Round=155    |   1 msg(s) |   43 bytes
[13:52:25.153] [Ch3 TX] Round=156    |   1 msg(s) |   43 bytes
[13:52:25.161] [Ch3 TX] Round=157    |   1 msg(s) |   43 bytes
[13:52:25.169] [Ch3 TX] Round=158    |   1 msg(s) |   43 bytes
[13:52:25.177] [Ch3 TX] Round=159    |   1 msg(s) |   43 bytes
[13:52:25.185] [Ch3 TX] Round=160    |   1 msg(s) |   43 bytes
[13:52:25.193] [Ch3 TX] Round=161    |   1 msg(s) |   43 bytes
[13:52:25.201] [Ch3 TX] Round=162    |   1 msg(s) |   43 bytes
[13:52:25.209] [Ch3 TX] Round=163    |   1 msg(s) |   43 bytes
[13:52:25.217] [Ch3 TX] Round=164    |   1 msg(s) |   43 bytes
[13:52:25.225] [Ch3 TX] Round=165    |   1 msg(s) |   43 bytes
[13:52:25.234] [Ch3 TX] Round=166    |   1 msg(s) |   43 bytes
[13:52:25.240] [Ch3 TX] Round=167    |   1 msg(s) |   43 bytes
[13:52:25.248] [Ch3 TX] Round=168    |   1 msg(s) |   43 bytes
[13:52:25.254] [Ch3 TX] Round=169    |   1 msg(s) |   43 bytes
[13:52:25.264] [Ch3 TX] Round=170    |   1 msg(s) |   43 bytes
[13:52:25.270] [Ch3 TX] Round=171    |   1 msg(s) |   43 bytes
[13:52:25.278] [Ch3 TX] Round=172    |   1 msg(s) |   43 bytes
[13:52:25.288] [Ch3 TX] Round=173    |   1 msg(s) |   43 bytes
[13:52:25.294] [Ch3 TX] Round=174    |   1 msg(s) |   43 bytes
[13:52:25.302] [Ch3 TX] Round=175    |   1 msg(s) |   43 bytes
[13:52:25.310] [Ch3 TX] Round=176    |   1 msg(s) |   43 bytes
[13:52:25.320] [Ch3 TX] Round=177    |   1 msg(s) |   43 bytes
[13:52:25.328] [Ch3 TX] Round=178    |   1 msg(s) |   43 bytes
[13:52:25.336] [Ch3 TX] Round=179    |   1 msg(s) |   43 bytes
[13:52:25.344] [Ch3 TX] Round=180    |   1 msg(s) |   43 bytes
[13:52:25.352] [Ch3 TX] Round=181    |   1 msg(s) |   43 bytes
[13:52:25.360] [Ch3 TX] Round=182    |   1 msg(s) |   43 bytes
